,x_ins,initial_prices,reached_prices,ys,final_prices,x_outs,dxs
16,7132655.19800955,0.999987372549107,0.9998447003317892,7129214.534210115,1.0001270573173706,7125962.584971076,-6692.613038472891
17,7552223.150833641,0.999987372549107,0.9998355233445132,7548547.599568017,1.0001358565063638,7545072.81928725,-7150.331546391386
18,7971791.103657732,0.999987372549107,0.9998262106943633,7967876.78732737,1.0001447652278994,7964175.46764153,-7615.636016202231
19,8391359.056481823,0.999987372549107,0.9998167535799855,8387202.038726393,1.0001537914283123,8383270.423866432,-8088.632615390709
20,8810927.009305915,0.999987372549107,0.9998071428897867,8806523.291245688,1.0001629432976946,8802357.574662829,-8569.4346430869
21,9230494.962130005,0.999987372549107,0.9997973691786397,9225840.47847315,1.0001722292894215,9221436.799359245,-9058.16277076049
22,9650062.914954096,0.999987372549107,0.9997874226431895,9645153.529958824,1.0001816581407315,9640507.96965275,-9554.945301345677
23,10069630.867778188,0.999987372549107,0.9997772930956401,10064462.371059064,1.0001912388944585,10059570.94933032,-10059.918447866377
24,10489198.82060228,0.999987372549107,0.9997669699358829,10483766.922769355,1.0002009809220196,10478625.593969552,-10573.226632728423
25,10908766.77342637,0.999987372549107,0.9997564421218222,10903067.101545045,1.0002108939477723,10897671.75061742,-11095.022808949845
26,11328334.72625046,0.999987372549107,0.999745698137736,11322362.819109233,1.0002209880748614,11316709.257445745,-11625.468804713839
27,11747902.679074552,0.999987372549107,0.999734725960495,11741653.982246913,1.0002312738126922,11735737.943381801,-12164.735692752254
28,12167470.631898643,0.999987372549107,0.9997235130234533,12160940.492584445,1.0002417621061692,12154757.627712442,-12713.004186201737
29,12587038.584722735,0.999987372549107,0.9997120461777977,12580222.246353362,1.0002524643668627,12573768.119660012,-13270.465062721218
30,13006606.537546825,0.999987372549107,0.9997003116511274,12999499.134137359,1.00026339250627,12992769.217928005,-13837.319618819167
31,13426174.490370916,0.999987372549107,0.9996882950030151,13418771.04060126,1.0002745589713613,13411760.710214403,-14413.780156514016
32,13845742.443195008,0.999987372549107,0.9996759810772723,13838037.84420065,1.0002859767826129,13830742.372690365,-15000.07050464265
33,14265310.3960191,0.999987372549107,0.999663353950615,14257299.416870724,1.000297659574752,14249713.969441757,-15596.426577341626
34,14684878.34884319,0.999987372549107,0.9996503968774004,14676555.623692745,1.0003096216404577,14668675.251870735,-16203.096972456407
35,15104446.30166728,0.999987372549107,0.9996370922300634,15095806.32253642,1.0003218779772884,15087625.958054394,-16820.34361288698
36,15524014.254491372,0.999987372549107,0.9996234214348488,15515051.363676295,1.0003344443381286,15506565.812057214,-17448.442434157096
37,15943582.207315464,0.999987372549107,0.9996093649023952,15934290.589380072,1.000347337285482,15925494.523193663,-18087.684121801252
38,16363150.160139555,0.999987372549107,0.9995949019526699,16353523.833466621,1.0003605742499706,16344411.785237053,-18738.374902502568
39,16782718.112963643,0.999987372549107,0.9995800107337126,16772750.920831185,1.0003741735934266,16763317.275570355,-19400.83739328865
40,17202286.065787736,0.999987372549107,0.999564668133578,17191971.666935056,1.0003881546770261,17182210.65427423,-20075.41151350653
41,17621854.018611826,0.999987372549107,0.9995488496848013,17611185.87725668,1.000402537934931,17601091.56314707,-20762.455464755833
42,18041421.971435916,0.999987372549107,0.999532529460642,18030393.34670101,1.0004173449539848,18019959.62465145,-21462.346784467587
43,18460989.92426001,0.999987372549107,0.9995156799622673,18449593.85896334,1.0004325985600464,18438814.44078063,-22175.483479379793
44,18880557.8770841,0.999987372549107,0.9994982719959477,18868787.185843706,1.0004483229116168,18857655.59183831,-22902.285245787964
45,19300125.829908192,0.999987372549107,0.9994802745392276,19287973.08650746,1.0004645436014934,19276482.635124046,-23643.194784146624
46,19719693.78273228,0.999987372549107,0.99946165459491,19707151.30668703,1.000481287767252,19695295.103515904,-24398.67921637516
47,20139261.73555637,0.999987372549107,0.9994423770315599,20126321.577819675,1.0004985842114669,20114092.503941283,-25169.23161508973
48,20558829.688380465,0.999987372549107,0.9994224044090702,20545483.616115022,1.000516463532673,20532874.315725513,-25955.372654952513
49,20978397.641204555,0.999987372549107,0.9994016967876599,20964637.121545997,1.000534958268193,20951639.988807138,-26757.652397415444
50,21397965.594028648,0.999987372549107,0.9993802115184681,21383781.7767557,1.0005541030500844,21370388.941807296,-27576.652221352262
51,21817533.546852738,0.999987372549107,0.9993579030136794,21802917.24587202,1.000573934775621,21789120.5599393,-28412.986913438217
